lastModifiedDate,status,itemList,internalId,customFieldList,createdDate,customForm,entity,currency,tranDate,tranId,salesRep,memo,exchangeRate,taxItem,taxRate,billingAddress,shippingAddress,shipDate,subTotal,discountTotal,total,balance,subsidiary
2024-01-01T00:00:00Z,Pending,"{'items_line': 'Item1'}, {'items_line': 'Item2'}",SO123,Custom1,2023-01-01T00:00:00Z,Form1,Cust1,USD,2023-01-01T00:00:00Z,1001,Rep1,Memo1,1.0,Tax1,0.05,Billing1,Shipping1,2023-01-05T00:00:00Z,100.0,10.0,95.0,50.0,Subsidiary1
2024-02-01T00:00:00Z,Completed,"{'items_line': 'Item3'}, {'items_line': 'Item4'}",SO124,Custom2,2023-02-01T00:00:00Z,Form2,Cust2,EUR,2023-02-01T00:00:00Z,1002,Rep2,Memo2,0.9,Tax2,0.1,Billing2,Shipping2,2023-02-05T00:00:00Z,200.0,20.0,180.0,100.0,Subsidiary2
2024-03-01T00:00:00Z,Pending,"{'items_line': 'Item5'}, {'items_line': 'Item6'}",SO125,Custom3,2023-03-01T00:00:00Z,Form3,Cust3,GBP,2023-03-01T00:00:00Z,1003,Rep3,Memo3,0.8,Tax3,0.15,Billing3,Shipping3,2023-03-05T00:00:00Z,300.0,30.0,270.0,150.0,Subsidiary1
2024-04-01T00:00:00Z,Completed,"{'items_line': 'Item7'}, {'items_line': 'Item8'}",SO126,Custom4,2023-04-01T00:00:00Z,Form4,Cust4,JPY,2023-04-01T00:00:00Z,1004,Rep4,Memo4,110.0,Tax4,0.05,Billing4,Shipping4,2023-04-05T00:00:00Z,400.0,40.0,360.0,200.0,Subsidiary2
2024-05-01T00:00:00Z,Pending,"{'items_line': 'Item9'}, {'items_line': 'Item10'}",SO127,Custom5,2023-05-01T00:00:00Z,Form5,Cust5,CAD,2023-05-01T00:00:00Z,1005,Rep5,Memo5,1.2,Tax5,0.1,Billing5,Shipping5,2023-05-05T00:00:00Z,500.0,50.0,450.0,250.0,Subsidiary1
2024-06-01T00:00:00Z,Completed,"{'items_line': 'Item11'}, {'items_line': 'Item12'}",SO128,Custom6,2023-06-01T00:00:00Z,Form6,Cust6,AUD,2023-06-01T00:00:00Z,1006,Rep6,Memo6,1.3,Tax6,0.05,Billing6,Shipping6,2023-06-05T00:00:00Z,600.0,60.0,540.0,300.0,Subsidiary2
2024-07-01T00:00:00Z,Pending,"{'items_line': 'Item13'}, {'items_line': 'Item14'}",SO129,Custom7,2023-07-01T00:00:00Z,Form7,Cust7,NZD,2023-07-01T00:00:00Z,1007,Rep7,Memo7,1.4,Tax7,0.05,Billing7,Shipping7,2023-07-05T00:00:00Z,700.0,70.0,630.0,350.0,Subsidiary1
2024-08-01T00:00:00Z,Completed,"{'items_line': 'Item15'}, {'items_line': 'Item16'}",SO130,Custom8,2023-08-01T00:00:00Z,Form8,Cust8,SGD,2023-08-01T00:00:00Z,1008,Rep8,Memo8,1.5,Tax8,0.05,Billing8,Shipping8,2023-08-05T00:00:00Z,800.0,80.0,720.0,400.0,Subsidiary2
2024-09-01T00:00:00Z,Pending,"{'items_line': 'Item17'}, {'items_line': 'Item18'}",SO131,Custom9,2023-09-01T00:00:00Z,Form9,Cust9,INR,2023-09-01T00:00:00Z,1009,Rep9,Memo9,74.0,Tax9,0.05,Billing9,Shipping9,2023-09-05T00:00:00Z,900.0,90.0,810.0,450.0,Subsidiary1
2024-10-01T00:00:00Z,Completed,"{'items_line': 'Item19'}, {'items_line': 'Item20'}",SO132,Custom10,2023-10-01T00:00:00Z,Form10,Cust10,CNY,2023-10-01T00:00:00Z,1010,Rep10,Memo10,6.5,Tax10,0.05,Billing10,Shipping10,2023-10-05T00:00:00Z,1000.0,100.0,900.0,500.0,Subsidiary2
